number,taskname,first_create_date,first_create_hhmmss,first_create_git_hash
1,migrate-to-config-and-project-structure,2026-02-07,000000,-------
2,auto-worktree-pr,2026-02-10,000000,-------
3,remove-worktree,2026-02-10,000000,-------
4,no-empty-archive,2026-02-12,000000,-------
5,align-complexity-policy,2026-02-13,000000,-------
6,improve-task-grain,2026-02-13,000000,-------
7,move-pr-to-mcp,2026-02-13,000000,-------
8,strenthen-complexity-lock,2026-02-13,001739,94aec26
9,fix-task-manifest-attributes,2026-02-13,220739,5bef31a
10,compact-tasks-goals,2026-02-15,000000,-------
11,complexity-upward-only-scaling,2026-02-15,161804,3e4afb6
12,improve-feb-15-2026,2026-02-15,143642,f3e278e
13,bug-fix-stale-path,2026-02-15,145828,7e68db1
